domanda,data
come funzioni,2025_11_27
che modello usi,2025_11_27
Cosa prevede il servizio GESTIONE ECONOMICA?,2025_11_27
Cosa sono gli slot?,2025_11_27
racconta la misura 1.4.88,2025_11_27
raccontami del piano BUL,2025_11_27
spina,2025_11_27
Cosa è Gabriele Spina?,2025_11_27
Chi è Gabriele Spina?,2025_11_27
"Ti sto chiedendo per la scuola, non mi hai rispsto",2025_11_27
Cosa è Teseo?,2025_11_27
Chi è Teseo?,2025_11_27
Chi era Teseo?,2025_11_27
Chi è Fausto Mancini?,2025_11_27
che modello usi?,2025_11_27
a chi mandi queste informazioni?,2025_11_27
"Di quali argomenti devono trattare le API relative al nuovo bando 1.3.1 IT Wallet per le Regioni?
",2025_11_27
ciao,2025_11_27
ricerca nome scuola per codice meccanografico,2025_11_27
generico,2025_11_27
ciao sono test,2025_11_27
cos'è teseo?,2025_11_29
"ciao, cos'è misura 4.0?",2025_11_29
chi sei,2025_11_29
ciao,2025_11_29
ciao come ti chiami?,2025_11_29
qual è la normativa per i cookies?,2025_11_29
Cos'è il Piano Nazionale di Ripresa e Resilienza?,2025_11_30
Quali sono le misure del PNRR?,2025_11_30
Cos'è il Piano Nazionale di Ripresa e Resilienza?,2025_11_30
Cos'è la misura X?,2025_11_30
Spiegami le aree di intervento del piano,2025_11_30
Spiegami le aree di intervento del piano,2025_11_30
Spiegami le aree di intervento del piano,2025_11_30
Cos'è il Piano Nazionale di Ripresa e Resilienza?,2025_11_30
Cos'è la misura X?,2025_11_30
Cos'è il Piano Nazionale di Ripresa e Resilienza?,2025_11_30
Cos'è la misura X?,2025_11_30
cos'è teseo?,2025_11_30
mi dai il link,2025_12_02
mi indichi la fonte,2025_12_02
Ciao,2025_12_02
cosa tratta questa misura?,2025_12_02
?,2025_12_02
cosa puoi fare per me?,2025_12_02
quali sono le tue fonti?,2025_12_02
ok grazie,2025_12_02
ma quindi servi solo per informazioni relative ai bandi o se ti mando una mail puoi dirmi se va bene oppure no?,2025_12_02
"ciao buongiorno, spiegami come funzioni e cosa puoi fare",2025_12_02
Generico,2025_12_03
Generico,2025_12_03
Business & Culture enablement,2025_12_03
"vorrei conoscere tutte le misure, non il primo risultato che ti viene in mente",2025_12_04
"ho fornito consulenza a un Comune che mi chiedeva chiarimenti sul servizio ""Accesso agli atti - Accesso civico"". Quali tipologie di accesso sono incluse? Sono tutte comprese? Rientrano anche quelle relative a SUAP/SUE? E cosa succede se non le abbiamo?",2025_12_04
ma a quali basi dati ti riferisci?,2025_12_04
ho bisogno di capire se devo fare push verso le scuole oppure no,2025_12_04
e per formazione orario scolastico?,2025_12_04
crea una job description per assistente tecnico BUL,2025_12_04
"""crea una job description per assistente tecnico BUL""",2025_12_04
crea una job description per assistente tecnico BUL,2025_12_04
"ho fornito consulenza a un Comune che mi chiedeva chiarimenti sul servizio ""Accesso agli atti - Accesso civico"". Quali tipologie di accesso sono incluse? Sono tutte comprese? Rientrano anche quelle relative a SUAP/SUE? E cosa succede se non le abbiamo?",2025_12_04
"ho fornito consulenza a un Comune che mi chiedeva chiarimenti sul servizio ""Accesso agli atti - Accesso civico"". Quali tipologie di accesso sono incluse? Sono tutte comprese? Rientrano anche quelle relative a SUAP/SUE? E cosa succede se non le abbiamo?",2025_12_04
crea job description per assistente tecnico BUL,2025_12_04
BUL,2025_12_05
Non ti risulta quindi che sia masi stato emesso un bando per i comuni per questa tecnologia?,2025_12_05
cosa prevede il servizio protezione civile,2025_12_06
le carote fanno bene alla vista ?,2025_12_06
once only,2025_12_06
cosa è paditale,2025_12_12
magazzino istituti comprensivi,2025_12_13
istituto comprensivo gestione magazzino,2025_12_13
ESEMPIO di report CSP,2025_12_16
ESEMPIO di report CSP,2025_12_16
definizione report CSP,2025_12_16
sicuro?,2025_12_16
chi è ManONLA,2025_12_16
chi,2025_12_16
Cos'è il Polo Strategico Nazionale (PSN)?,2025_12_17
ciao,2025_12_18
generico,2025_12_18
cose è  l'approccio “security-oriented”,2025_12_18
Chi è Gargiulo?,2025_12_19
normativo,2025_12_23
creami una job position per assistente tecnico,2025_12_23
che pagina nell'avviso?,2026_01_08
in quale sezione?,2026_01_08
dove trovo la copia del questionario con relative domande,2026_01_08
Forse intendevi questo sito qui: https://www.acn.gov.it/portale/catalogo-delle-infrastrutture-digitali-e-dei-servizi-cloud ?,2026_01_09
PRIMO (basato su piattaforma Alma) cosa mi sai dire ?,2026_01_09
che pagina nell'avviso?,2026_01_09
alexandro,2026_01_10
alexandro,2026_01_11
legale,2026_01_13
normativo,2026_01_13
normativo,2026_01_13
Normativo,2026_01_13
mi dai la tassonomia di Tributi Maggiori?,2026_01_14
"ho fornito consulenza a un Comune che mi chiedeva chiarimenti sul servizio ""Accesso agli atti - Accesso civico"". Quali tipologie di accesso sono incluse? Sono tutte comprese? Rientrano anche quelle relative a SUAP/SUE? E cosa succede se non le abbiamo?",2026_01_14
Sono stati prodotti documenti su tema modello chatbot?,2026_01_14
se il periodo non è coperto cosa bisogna fare?,2026_01_15
"ok, ricrea la checklist basandoti su questo investimento",2026_01_15
test,2026_01_22
Dimmi di più sui comuni,2026_01_22
test,2026_01_23
test,2026_01_24
test,2026_01_25
test,2026_01_26
test,2026_01_27
test,2026_01_28
test,2026_01_29
"Inoltre, il maas si propone di migliorare che cosa",2026_01_30
Questo approccio cosa mira a semplificare,2026_01_30
mi sai dire che cos'è il maas,2026_01_30
hai altre fonti?,2026_01_30
mi sai dire che cos'è il maas,2026_01_30
test,2026_01_30
"Inoltre, il maas si propone di migliorare che cosa",2026_01_31
